n,W,family,instance_idx,solver,value,optimal_value,opt_gap_pct,weight,capacity,feasible,time_s,items_selected
50,100,uncorrelated,5,ml_mlp,357,369,3.25,90,100,True,0.001335,10
50,100,uncorrelated,6,dp,415,415,0.0,99,100,True,0.00229,11
50,100,uncorrelated,6,greedy,415,415,0.0,99,100,True,5.4e-05,11
50,100,uncorrelated,6,ml_rf,385,415,7.23,85,100,True,0.133248,10
50,100,uncorrelated,6,ml_mlp,415,415,0.0,99,100,True,0.002105,11
50,100,uncorrelated,7,dp,353,353,0.0,100,100,True,0.002422,11
50,100,uncorrelated,7,greedy,349,353,1.13,96,100,True,6e-05,13
50,100,uncorrelated,7,ml_rf,347,353,1.7,97,100,True,0.134934,11
50,100,uncorrelated,7,ml_mlp,330,353,6.52,87,100,True,0.012279,12
50,100,uncorrelated,8,dp,328,328,0.0,100,100,True,0.005671,9
50,100,uncorrelated,8,greedy,328,328,0.0,100,100,True,5.9e-05,9
50,100,uncorrelated,8,ml_rf,296,328,9.76,90,100,True,0.15657,8
50,100,uncorrelated,8,ml_mlp,328,328,0.0,100,100,True,0.001082,9
50,100,uncorrelated,9,dp,382,382,0.0,100,100,True,0.001689,10
50,100,uncorrelated,9,greedy,382,382,0.0,100,100,True,5.1e-05,10
50,100,uncorrelated,9,ml_rf,366,382,4.19,96,100,True,0.132788,9
50,100,uncorrelated,9,ml_mlp,357,382,6.54,87,100,True,0.001785,9
50,100,uncorrelated,10,dp,433,433,0.0,98,100,True,0.002565,13
50,100,uncorrelated,10,greedy,433,433,0.0,98,100,True,6.1e-05,13
50,100,uncorrelated,10,ml_rf,432,433,0.23,97,100,True,0.137316,12
50,100,uncorrelated,10,ml_mlp,432,433,0.23,97,100,True,0.00444,12
50,100,uncorrelated,11,dp,389,389,0.0,98,100,True,0.002427,12
50,100,uncorrelated,11,greedy,389,389,0.0,98,100,True,5.4e-05,12
50,100,uncorrelated,11,ml_rf,382,389,1.8,100,100,True,0.135235,10
50,100,uncorrelated,11,ml_mlp,371,389,4.63,92,100,True,0.000905,10
50,100,uncorrelated,12,dp,382,382,0.0,100,100,True,0.002315,10
50,100,uncorrelated,12,greedy,370,382,3.14,99,100,True,5.9e-05,12
50,100,uncorrelated,12,ml_rf,323,382,15.45,78,100,True,0.133906,8
50,100,uncorrelated,12,ml_mlp,372,382,2.62,94,100,True,0.001644,10
50,100,uncorrelated,13,dp,491,491,0.0,100,100,True,0.00176,15
50,100,uncorrelated,13,greedy,488,491,0.61,96,100,True,4.2e-05,15
50,100,uncorrelated,13,ml_rf,488,491,0.61,96,100,True,0.123809,15
50,100,uncorrelated,13,ml_mlp,488,491,0.61,96,100,True,0.002044,15
50,100,uncorrelated,14,dp,286,286,0.0,100,100,True,0.00225,8
50,100,uncorrelated,14,greedy,275,286,3.85,94,100,True,6.2e-05,10
50,100,uncorrelated,14,ml_rf,261,286,8.74,85,100,True,0.137471,7
50,100,uncorrelated,14,ml_mlp,257,286,10.14,81,100,True,0.001611,9
50,100,uncorrelated,15,dp,451,451,0.0,100,100,True,0.001678,12
50,100,uncorrelated,15,greedy,431,451,4.43,90,100,True,4.1e-05,12
50,100,uncorrelated,15,ml_rf,436,451,3.33,98,100,True,0.143387,11
50,100,uncorrelated,15,ml_mlp,431,451,4.43,90,100,True,0.000878,12
50,100,uncorrelated,16,dp,357,357,0.0,100,100,True,0.002227,10
50,100,uncorrelated,16,greedy,354,357,0.84,99,100,True,3.8e-05,11
50,100,uncorrelated,16,ml_rf,352,357,1.4,95,100,True,0.13723,10
50,100,uncorrelated,16,ml_mlp,352,357,1.4,95,100,True,0.000893,10
50,100,uncorrelated,17,dp,357,357,0.0,97,100,True,0.00172,11
50,100,uncorrelated,17,greedy,357,357,0.0,97,100,True,4.4e-05,11
50,100,uncorrelated,17,ml_rf,310,357,13.17,83,100,True,0.134303,9
50,100,uncorrelated,17,ml_mlp,357,357,0.0,97,100,True,0.001981,11
50,100,uncorrelated,18,dp,349,349,0.0,99,100,True,0.002421,11
50,100,uncorrelated,18,greedy,349,349,0.0,99,100,True,8.5e-05,11
50,100,uncorrelated,18,ml_rf,339,349,2.87,98,100,True,0.131185,10
50,100,uncorrelated,18,ml_mlp,318,349,8.88,88,100,True,0.001461,9
50,100,uncorrelated,19,dp,447,447,0.0,100,100,True,0.001718,12
50,100,uncorrelated,19,greedy,425,447,4.92,94,100,True,4.4e-05,13
50,100,uncorrelated,19,ml_rf,418,447,6.49,87,100,True,0.116051,11
50,100,uncorrelated,19,ml_mlp,444,447,0.67,97,100,True,0.001949,11
50,100,correlated,0,dp,148,148,0.0,100,100,True,0.001606,10
50,100,correlated,0,greedy,148,148,0.0,100,100,True,4.7e-05,10
50,100,correlated,0,ml_rf,89,148,39.86,56,100,True,0.134623,6
50,100,correlated,0,ml_mlp,42,148,71.62,19,100,True,0.002477,5
50,100,correlated,1,dp,155,155,0.0,99,100,True,0.00292,8
50,100,correlated,1,greedy,155,155,0.0,99,100,True,5.5e-05,8
50,100,correlated,1,ml_rf,130,155,16.13,86,100,True,0.13691,6
50,100,correlated,1,ml_mlp,60,155,61.29,34,100,True,0.000846,3
50,100,correlated,2,dp,136,136,0.0,100,100,True,0.001683,6
50,100,correlated,2,greedy,136,136,0.0,100,100,True,4.1e-05,6
50,100,correlated,2,ml_rf,89,136,34.56,64,100,True,0.149079,5
50,100,correlated,2,ml_mlp,34,136,75.0,19,100,True,0.001319,3
50,100,correlated,3,dp,153,153,0.0,98,100,True,0.002207,8
50,100,correlated,3,greedy,153,153,0.0,98,100,True,5.7e-05,8
50,100,correlated,3,ml_rf,128,153,16.34,79,100,True,0.14612,7
50,100,correlated,3,ml_mlp,39,153,74.51,19,100,True,0.001082,3
