problem,method,family,instance_id,n,objective_value,optimality_gap,runtime_seconds
scheduling,Greedy_BR,dense,34,50,381.0,0.035443037974683546,2.8599999495781958e-05
scheduling,ML_RF,dense,34,50,368,0.06835443037974684,0.026039500007755123
scheduling,ML_MLP,dense,34,50,368,0.06835443037974684,0.0011975000088568777
scheduling,DP,dense,35,50,520.0,0.0,0.0001201999984914437
scheduling,Greedy_EF,dense,35,50,367.0,0.29423076923076924,3.0099996365606785e-05
scheduling,Greedy_HW,dense,35,50,433.0,0.1673076923076923,1.930000144056976e-05
scheduling,Greedy_BR,dense,35,50,520.0,0.0,3.060000017285347e-05
scheduling,ML_RF,dense,35,50,513,0.013461538461538462,0.02857850000145845
scheduling,ML_MLP,dense,35,50,513,0.013461538461538462,0.0013752999948337674
scheduling,DP,dense,36,50,522.0,0.0,6.890000076964498e-05
scheduling,Greedy_EF,dense,36,50,445.0,0.1475095785440613,2.400000812485814e-05
scheduling,Greedy_HW,dense,36,50,522.0,0.0,1.990000600926578e-05
scheduling,Greedy_BR,dense,36,50,510.0,0.022988505747126436,2.9100003303028643e-05
scheduling,ML_RF,dense,36,50,510,0.022988505747126436,0.026089200007845648
scheduling,ML_MLP,dense,36,50,510,0.022988505747126436,0.0011760999914258718
scheduling,DP,dense,37,50,608.0,0.0,6.820000999141484e-05
scheduling,Greedy_EF,dense,37,50,518.0,0.14802631578947367,2.610000956337899e-05
scheduling,Greedy_HW,dense,37,50,451.0,0.2582236842105263,1.789999078027904e-05
scheduling,Greedy_BR,dense,37,50,576.0,0.05263157894736842,3.130000550299883e-05
scheduling,ML_RF,dense,37,50,602,0.009868421052631578,0.026418300010845996
scheduling,ML_MLP,dense,37,50,576,0.05263157894736842,0.0012906999909318984
scheduling,DP,dense,38,50,513.0,0.0,6.829999620094895e-05
scheduling,Greedy_EF,dense,38,50,313.0,0.3898635477582846,2.7400004910305142e-05
scheduling,Greedy_HW,dense,38,50,513.0,0.0,1.8699996871873736e-05
scheduling,Greedy_BR,dense,38,50,445.0,0.13255360623781676,3.0499999411404133e-05
scheduling,ML_RF,dense,38,50,445,0.13255360623781676,0.027649400013615377
scheduling,ML_MLP,dense,38,50,445,0.13255360623781676,0.0010138999932678416
scheduling,DP,dense,39,50,492.0,0.0,6.690000009257346e-05
scheduling,Greedy_EF,dense,39,50,442.0,0.1016260162601626,2.680000034160912e-05
scheduling,Greedy_HW,dense,39,50,328.0,0.3333333333333333,1.7400001524947584e-05
scheduling,Greedy_BR,dense,39,50,483.0,0.018292682926829267,3.029999788850546e-05
scheduling,ML_RF,dense,39,50,442,0.1016260162601626,0.027346499991836026
scheduling,ML_MLP,dense,39,50,483,0.018292682926829267,0.0013005000073462725
scheduling,DP,adversarial,40,6,60.0,0.0,6.999995093792677e-06
scheduling,Greedy_EF,adversarial,40,6,60.0,0.0,7.000009645707905e-06
scheduling,Greedy_HW,adversarial,40,6,50.0,0.16666666666666666,3.600012860260904e-06
scheduling,Greedy_BR,adversarial,40,6,60.0,0.0,6.300004315562546e-06
scheduling,ML_RF,adversarial,40,6,60,0.0,0.02577469999960158
scheduling,ML_MLP,adversarial,40,6,60,0.0,0.0005092999927001074
